year_film,year_ceremony,ceremony,category,name,film,winner
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,False
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,False
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,False
1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,False
1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False
1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True
1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False
1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,False
1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,False
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,False
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,False
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,False
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,False
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,False
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,False
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,False
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,False
1928,1929,2,WRITING,Elliott Clawson,The Cop;,False
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,False
1928,1929,2,WRITING,Hans Kraly,The Patriot,True
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,False
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,False
1929,1930,3,ACTOR,George Arliss,Disraeli,True
1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
1929,1930,3,ACTOR,Wallace Beery,The Big House,False
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False
1929,1930,3,ART DIRECTION,Bulldog Drummond,Bulldog Drummond,False
1929,1930,3,ART DIRECTION,King of Jazz,King of Jazz,True
1929,1930,3,ART DIRECTION,The Love Parade,The Love Parade,False
1929,1930,3,ART DIRECTION,Sally,Sally,False
1929,1930,3,ART DIRECTION,The Vagabond King,The Vagabond King,False
1929,1930,3,CINEMATOGRAPHY,All Quiet on the Western Front,All Quiet on the Western Front,False
1929,1930,3,CINEMATOGRAPHY,Anna Christie,Anna Christie,False
1929,1930,3,CINEMATOGRAPHY,Hell's Angels,Hell's Angels,False
1929,1930,3,CINEMATOGRAPHY,The Love Parade,The Love Parade,False
1929,1930,3,CINEMATOGRAPHY,With Byrd at the South Pole,With Byrd at the South Pole,True
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,False
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,False
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True
1929,1930,3,DIRECTING,King Vidor,Hallelujah,False
1929,1930,3,OUTSTANDING PRODUCTION,All Quiet on the Western Front,All Quiet on the Western Front,True
1929,1930,3,OUTSTANDING PRODUCTION,The Big House,The Big House,False
1929,1930,3,OUTSTANDING PRODUCTION,Disraeli,Disraeli,False
1929,1930,3,OUTSTANDING PRODUCTION,The Divorcee,The Divorcee,False
1929,1930,3,OUTSTANDING PRODUCTION,The Love Parade,The Love Parade,False
1929,1930,3,SOUND RECORDING,The Big House,The Big House,True
1929,1930,3,SOUND RECORDING,The Case of Sergeant Grischa,The Case of Sergeant Grischa,False
1929,1930,3,SOUND RECORDING,The Love Parade,The Love Parade,False
1929,1930,3,SOUND RECORDING,Raffles,Raffles,False
1929,1930,3,SOUND RECORDING,Song of the Flame,Song of the Flame,False
1929,1930,3,WRITING,All Quiet on the Western Front,All Quiet on the Western Front,False
1929,1930,3,WRITING,The Big House,The Big House,True
1929,1930,3,WRITING,Disraeli,Disraeli,False
1929,1930,3,WRITING,The Divorcee,The Divorcee,False
1929,1930,3,WRITING,Street of Chance,Street of Chance,False
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
1930,1931,4,ACTOR,Jackie Cooper,Skippy,False
1930,1931,4,ACTOR,Richard Dix,Cimarron,False
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False
1930,1931,4,ACTRESS,Ann Harding,Holiday,False
1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False
1930,1931,4,ART DIRECTION,Cimarron,Cimarron,True
1930,1931,4,ART DIRECTION,Just Imagine,Just Imagine,False
1930,1931,4,ART DIRECTION,Morocco,Morocco,False
1930,1931,4,ART DIRECTION,Svengali,Svengali,False
1930,1931,4,ART DIRECTION,Whoopee!,Whoopee!,False
1930,1931,4,CINEMATOGRAPHY,Cimarron,Cimarron,False
1930,1931,4,CINEMATOGRAPHY,Morocco,Morocco,False
1930,1931,4,CINEMATOGRAPHY,The Right to Love,The Right to Love,False
1930,1931,4,CINEMATOGRAPHY,Svengali,Svengali,False
1930,1931,4,CINEMATOGRAPHY,Tabu,Tabu,True
1930,1931,4,DIRECTING,Cimarron,Cimarron,False
1930,1931,4,DIRECTING,A Free Soul,A Free Soul,False
1930,1931,4,DIRECTING,The Front Page,The Front Page,False
1930,1931,4,DIRECTING,Morocco,Morocco,False
1930,1931,4,DIRECTING,Skippy,Skippy,True
1930,1931,4,OUTSTANDING PRODUCTION,Cimarron,Cimarron,True
1930,1931,4,OUTSTANDING PRODUCTION,East Lynne,East Lynne,False
1930,1931,4,OUTSTANDING PRODUCTION,The Front Page,The Front Page,False
1930,1931,4,OUTSTANDING PRODUCTION,Skippy,Skippy,False
1930,1931,4,OUTSTANDING PRODUCTION,Trader Horn,Trader Horn,False
1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,False
1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,False
1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,True
1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,False
1930,1931,4,WRITING (Adaptation),Cimarron,Cimarron,True
1930,1931,4,WRITING (Adaptation),The Criminal Code,The Criminal Code,False
1930,1931,4,WRITING (Adaptation),Holiday,Holiday,False
1930,1931,4,WRITING (Adaptation),Little Caesar,Little Caesar,False
1930,1931,4,WRITING (Adaptation),Skippy,Skippy,False
1930,1931,4,WRITING (Original Story),The Dawn Patrol,The Dawn Patrol,True
1930,1931,4,WRITING (Original Story),The Doorway to Hell,The Doorway to Hell,False
1930,1931,4,WRITING (Original Story),Laughter,Laughter,False
1930,1931,4,WRITING (Original Story),The Public Enemy,The Public Enemy,False
1930,1931,4,WRITING (Original Story),Smart Money,Smart Money,False
1931,1932,5,ACTOR,Wallace Beery,The Champ,True
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
1931,1932,5,ACTRESS,Marie Dressler,Emma,False
1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
1931,1932,5,ART DIRECTION,À Nous la Liberté,À Nous la Liberté,False
1931,1932,5,ART DIRECTION,Arrowsmith,Arrowsmith,False
1931,1932,5,ART DIRECTION,Transatlantic,Transatlantic,True
1931,1932,5,CINEMATOGRAPHY,Arrowsmith,Arrowsmith,False
1931,1932,5,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,False
1931,1932,5,CINEMATOGRAPHY,Shanghai Express,Shanghai Express,True
1931,1932,5,DIRECTING,Bad Girl,Bad Girl,True
1931,1932,5,DIRECTING,The Champ,The Champ,False
1931,1932,5,DIRECTING,Shanghai Express,Shanghai Express,False
1931,1932,5,OUTSTANDING PRODUCTION,Arrowsmith,Arrowsmith,False
1931,1932,5,OUTSTANDING PRODUCTION,Bad Girl,Bad Girl,False
1931,1932,5,OUTSTANDING PRODUCTION,The Champ,The Champ,False
1931,1932,5,OUTSTANDING PRODUCTION,Five Star Final,Five Star Final,False
1931,1932,5,OUTSTANDING PRODUCTION,Grand Hotel,Grand Hotel,True
1931,1932,5,OUTSTANDING PRODUCTION,One Hour with You,One Hour with You,False
1931,1932,5,OUTSTANDING PRODUCTION,Shanghai Express,Shanghai Express,False
1931,1932,5,OUTSTANDING PRODUCTION,The Smiling Lieutenant,The Smiling Lieutenant,False
1931,1932,5,SHORT SUBJECT (Cartoon),Flowers and Trees,Flowers and Trees,True
1931,1932,5,SHORT SUBJECT (Cartoon),It's Got Me Again,It's Got Me Again,False
1931,1932,5,SHORT SUBJECT (Cartoon),Mickey's Orphans,Mickey's Orphans,False
1931,1932,5,SHORT SUBJECT (Comedy),The Loud Mouth,The Loud Mouth,False
1931,1932,5,SHORT SUBJECT (Comedy),The Music Box,The Music Box,True
1931,1932,5,SHORT SUBJECT (Comedy),Scratch-As-Catch-Can,Scratch-As-Catch-Can,False
1931,1932,5,SHORT SUBJECT (Comedy),Stout Hearts and Willing Hands,Stout Hearts and Willing Hands,False
1931,1932,5,SHORT SUBJECT (Novelty),Screen Souvenirs,Screen Souvenirs,False
1931,1932,5,SHORT SUBJECT (Novelty),Swing High,Swing High,False
1931,1932,5,SHORT SUBJECT (Novelty),Wrestling Swordfish,Wrestling Swordfish,True
1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,False
1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,True
1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,False
1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,False
1931,1932,5,WRITING (Adaptation),Arrowsmith,Arrowsmith,False
1931,1932,5,WRITING (Adaptation),Bad Girl,Bad Girl,True
1931,1932,5,WRITING (Adaptation),Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,False
1931,1932,5,WRITING (Original Story),The Champ,The Champ,True
1931,1932,5,WRITING (Original Story),Lady and Gent,Lady and Gent,False
1931,1932,5,WRITING (Original Story),The Star Witness,The Star Witness,False
1931,1932,5,WRITING (Original Story),What Price Hollywood?,What Price Hollywood?,False
1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,True
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
1932,1933,6,ACTRESS,May Robson,Lady for a Day,False
1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False
1932,1933,6,ART DIRECTION,Cavalcade,Cavalcade,True
1932,1933,6,ART DIRECTION,A Farewell to Arms,A Farewell to Arms,False
1932,1933,6,ART DIRECTION,When Ladies Meet,When Ladies Meet,False
1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,False
1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,True
1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,True
1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,False
1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,False
1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,True
1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,False
1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,False
1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,False
1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,True
1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,True
1932,1933,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,False
1932,1933,6,ASSISTANT DIRECTOR,Scott Beal (Universal),,True
1932,1933,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),,False
1932,1933,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,False
1932,1933,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,False
1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,True
1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,False
1932,1933,6,CINEMATOGRAPHY,A Farewell to Arms,A Farewell to Arms,True
1932,1933,6,CINEMATOGRAPHY,Reunion in Vienna,Reunion in Vienna,False
1932,1933,6,CINEMATOGRAPHY,The Sign of the Cross,The Sign of the Cross,False
1932,1933,6,DIRECTING,Cavalcade,Cavalcade,True
1932,1933,6,DIRECTING,Lady for a Day,Lady for a Day,False
1932,1933,6,DIRECTING,Little Women,Little Women,False
1932,1933,6,OUTSTANDING PRODUCTION,Cavalcade,Cavalcade,True
1932,1933,6,OUTSTANDING PRODUCTION,A Farewell to Arms,A Farewell to Arms,False
1932,1933,6,OUTSTANDING PRODUCTION,42nd Street,42nd Street,False
1932,1933,6,OUTSTANDING PRODUCTION,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,False
1932,1933,6,OUTSTANDING PRODUCTION,Lady for a Day,Lady for a Day,False
1932,1933,6,OUTSTANDING PRODUCTION,Little Women,Little Women,False
1932,1933,6,OUTSTANDING PRODUCTION,The Private Life of Henry VIII,The Private Life of Henry VIII,False
1932,1933,6,OUTSTANDING PRODUCTION,She Done Him Wrong,She Done Him Wrong,False
1932,1933,6,OUTSTANDING PRODUCTION,Smilin' Through,Smilin' Through,False
1932,1933,6,OUTSTANDING PRODUCTION,State Fair,State Fair,False
1932,1933,6,SHORT SUBJECT (Cartoon),Building a Building,Building a Building,False
1932,1933,6,SHORT SUBJECT (Cartoon),The Merry Old Soul,The Merry Old Soul,False
1932,1933,6,SHORT SUBJECT (Cartoon),The Three Little Pigs,The Three Little Pigs,True
1932,1933,6,SHORT SUBJECT (Comedy),Mister Mugg,Mister Mugg,False
1932,1933,6,SHORT SUBJECT (Comedy),A Preferred List,A Preferred List,False
1932,1933,6,SHORT SUBJECT (Comedy),So This Is Harris,So This Is Harris,True
1932,1933,6,SHORT SUBJECT (Novelty),Krakatoa,Krakatoa,True
1932,1933,6,SHORT SUBJECT (Novelty),Menu,Menu,False
1932,1933,6,SHORT SUBJECT (Novelty),The Sea,The Sea,False
1932,1933,6,SOUND RECORDING,A Farewell to Arms,A Farewell to Arms,True
1932,1933,6,SOUND RECORDING,42nd Street,42nd Street,False
1932,1933,6,SOUND RECORDING,Gold Diggers of 1933,Gold Diggers of 1933,False
1932,1933,6,SOUND RECORDING,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,False
1932,1933,6,WRITING (Adaptation),Lady for a Day,Lady for a Day,False
1932,1933,6,WRITING (Adaptation),Little Women,Little Women,True
1932,1933,6,WRITING (Adaptation),State Fair,State Fair,False
1932,1933,6,WRITING (Original Story),One Way Passage,One Way Passage,True
1932,1933,6,WRITING (Original Story),The Prizefighter and the Lady,The Prizefighter and the Lady,False
1932,1933,6,WRITING (Original Story),Rasputin and the Empress,Rasputin and the Empress,False
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False
1934,1935,7,ACTOR,William Powell,The Thin Man,False
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False
1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False
1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False
1934,1935,7,ART DIRECTION,The Affairs of Cellini,The Affairs of Cellini,False
1934,1935,7,ART DIRECTION,The Gay Divorcee,The Gay Divorcee,False
1934,1935,7,ART DIRECTION,The Merry Widow,The Merry Widow,True
1934,1935,7,ASSISTANT DIRECTOR,Cleopatra,Cleopatra,False
1934,1935,7,ASSISTANT DIRECTOR,Imitation of Life,Imitation of Life,False
1934,1935,7,ASSISTANT DIRECTOR,Viva Villa!,Viva Villa!,True
1934,1935,7,CINEMATOGRAPHY,The Affairs of Cellini,The Affairs of Cellini,False
1934,1935,7,CINEMATOGRAPHY,Cleopatra,Cleopatra,True
1934,1935,7,CINEMATOGRAPHY,Operator 13,Operator 13,False
1934,1935,7,DIRECTING,It Happened One Night,It Happened One Night,True
1934,1935,7,DIRECTING,One Night of Love,One Night of Love,False
1934,1935,7,DIRECTING,The Thin Man,The Thin Man,False
1934,1935,7,FILM EDITING,Cleopatra,Cleopatra,False
1934,1935,7,FILM EDITING,Eskimo,Eskimo,True
1934,1935,7,FILM EDITING,One Night of Love,One Night of Love,False
1934,1935,7,MUSIC (Scoring),The Gay Divorcee,The Gay Divorcee,False
1934,1935,7,MUSIC (Scoring),The Lost Patrol,The Lost Patrol,False
1934,1935,7,MUSIC (Scoring),One Night of Love,One Night of Love,True
1934,1935,7,MUSIC (Song),Flying Down to Rio,Flying Down to Rio,False
1934,1935,7,MUSIC (Song),The Gay Divorcee,The Gay Divorcee,True
1934,1935,7,MUSIC (Song),She Loves Me Not,She Loves Me Not,False
1934,1935,7,OUTSTANDING PRODUCTION,The Barretts of Wimpole Street,The Barretts of Wimpole Street,False
1934,1935,7,OUTSTANDING PRODUCTION,Cleopatra,Cleopatra,False
1934,1935,7,OUTSTANDING PRODUCTION,Flirtation Walk,Flirtation Walk,False
1934,1935,7,OUTSTANDING PRODUCTION,The Gay Divorcee,The Gay Divorcee,False
1934,1935,7,OUTSTANDING PRODUCTION,Here Comes the Navy,Here Comes the Navy,False
1934,1935,7,OUTSTANDING PRODUCTION,The House of Rothschild,The House of Rothschild,False
1934,1935,7,OUTSTANDING PRODUCTION,Imitation of Life,Imitation of Life,False
1934,1935,7,OUTSTANDING PRODUCTION,It Happened One Night,It Happened One Night,True
1934,1935,7,OUTSTANDING PRODUCTION,One Night of Love,One Night of Love,False
1934,1935,7,OUTSTANDING PRODUCTION,The Thin Man,The Thin Man,False
1934,1935,7,OUTSTANDING PRODUCTION,Viva Villa!,Viva Villa!,False
1934,1935,7,OUTSTANDING PRODUCTION,The White Parade,The White Parade,False
1934,1935,7,SHORT SUBJECT (Cartoon),Holiday Land,Holiday Land,False
1934,1935,7,SHORT SUBJECT (Cartoon),Jolly Little Elves,Jolly Little Elves,False
1934,1935,7,SHORT SUBJECT (Cartoon),The Tortoise and the Hare,The Tortoise and the Hare,True
1934,1935,7,SHORT SUBJECT (Comedy),La Cucaracha,La Cucaracha,True
1934,1935,7,SHORT SUBJECT (Comedy),Men in Black,Men in Black,False
1934,1935,7,SHORT SUBJECT (Comedy),"What, No Men!","What, No Men!",False
1934,1935,7,SHORT SUBJECT (Novelty),Bosom Friends,Bosom Friends,False
1934,1935,7,SHORT SUBJECT (Novelty),City of Wax,City of Wax,True
1934,1935,7,SHORT SUBJECT (Novelty),Strikes and Spares,Strikes and Spares,False
1934,1935,7,SOUND RECORDING,The Affairs of Cellini,The Affairs of Cellini,False
1934,1935,7,SOUND RECORDING,Cleopatra,Cleopatra,False
1934,1935,7,SOUND RECORDING,Flirtation Walk,Flirtation Walk,False
1934,1935,7,SOUND RECORDING,The Gay Divorcee,The Gay Divorcee,False
1934,1935,7,SOUND RECORDING,Imitation of Life,Imitation of Life,False
1934,1935,7,SOUND RECORDING,One Night of Love,One Night of Love,True
1934,1935,7,SOUND RECORDING,Viva Villa!,Viva Villa!,False
1934,1935,7,SOUND RECORDING,The White Parade,The White Parade,False
1934,1935,7,WRITING (Adaptation),It Happened One Night,It Happened One Night,True
1934,1935,7,WRITING (Adaptation),The Thin Man,The Thin Man,False
1934,1935,7,WRITING (Adaptation),Viva Villa!,Viva Villa!,False
1934,1935,7,WRITING (Original Story),Hide-Out,Hide-Out,False
1934,1935,7,WRITING (Original Story),Manhattan Melodrama,Manhattan Melodrama,True
1934,1935,7,WRITING (Original Story),The Richest Girl in the World,The Richest Girl in the World,False
1934,1935,7,SPECIAL AWARD, Shirley Temple,,True
1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False
1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,False
1935,1936,8,ACTOR,Victor McLaglen,The Informer,True
1935,1936,8,ACTOR,Paul Muni,Black Fury,False
1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,False
1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,False
1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,False
1935,1936,8,ACTRESS,Bette Davis,Dangerous,True
1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,False
1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,False
1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,False
1935,1936,8,ART DIRECTION,The Dark Angel,The Dark Angel,True
1935,1936,8,ART DIRECTION,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer,False
1935,1936,8,ART DIRECTION,Top Hat,Top Hat,False
1935,1936,8,ASSISTANT DIRECTOR,David Copperfield,David Copperfield,False
1935,1936,8,ASSISTANT DIRECTOR,Les Miserables,Les Miserables,False
1935,1936,8,ASSISTANT DIRECTOR,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer,True
1935,1936,8,ASSISTANT DIRECTOR,A Midsummer Night's Dream,A Midsummer Night's Dream,False
1935,1936,8,CINEMATOGRAPHY,Barbary Coast,Barbary Coast,False
1935,1936,8,CINEMATOGRAPHY,The Crusades,The Crusades,False
1935,1936,8,CINEMATOGRAPHY,Les Miserables,Les Miserables,False
1935,1936,8,CINEMATOGRAPHY,A Midsummer Night's Dream,A Midsummer Night's Dream,True
1935,1936,8,DANCE DIRECTION,Busby Berkeley,Gold Diggers of 1935,False
1935,1936,8,DANCE DIRECTION,Bobby Connolly,Go into Your Dance;,False
1935,1936,8,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;,True
1935,1936,8,DANCE DIRECTION,Sammy Lee,King of Burlesque,False
1935,1936,8,DANCE DIRECTION,Hermes Pan,Top Hat,False
1935,1936,8,DANCE DIRECTION,LeRoy Prinz,Big Broadcast of 1936;,False
1935,1936,8,DANCE DIRECTION,Benjamin Zemach,She,False
1935,1936,8,DIRECTING,Captain Blood,Captain Blood,False
1935,1936,8,DIRECTING,The Informer,The Informer,True
1935,1936,8,DIRECTING,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer,False
1935,1936,8,DIRECTING,Mutiny on the Bounty,Mutiny on the Bounty,False
1935,1936,8,FILM EDITING,David Copperfield,David Copperfield,False
1935,1936,8,FILM EDITING,The Informer,The Informer,False
1935,1936,8,FILM EDITING,Les Miserables,Les Miserables,False
1935,1936,8,FILM EDITING,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer,False
1935,1936,8,FILM EDITING,A Midsummer Night's Dream,A Midsummer Night's Dream,True
1935,1936,8,FILM EDITING,Mutiny on the Bounty,Mutiny on the Bounty,False
1935,1936,8,MUSIC (Scoring),Captain Blood,Captain Blood,False
1935,1936,8,MUSIC (Scoring),The Informer,The Informer,True
1935,1936,8,MUSIC (Scoring),Mutiny on the Bounty,Mutiny on the Bounty,False
1935,1936,8,MUSIC (Scoring),Peter Ibbetson,Peter Ibbetson,False
