,year_film,year_ceremony,ceremony,category,name,film,winner
2963,1954,1955,27,MUSIC (Song),A Star Is Born,A Star Is Born,False
3865,1962,1963,35,ART DIRECTION (Color),Mutiny on the Bounty,Mutiny on the Bounty,False
3876,1962,1963,35,CINEMATOGRAPHY (Color),Mutiny on the Bounty,Mutiny on the Bounty,False
3902,1962,1963,35,FILM EDITING,Mutiny on the Bounty,Mutiny on the Bounty,False
3910,1962,1963,35,MUSIC (Music Score--substantially original),Mutiny on the Bounty,Mutiny on the Bounty,False
3919,1962,1963,35,MUSIC (Song),Mutiny on the Bounty,Mutiny on the Bounty,False
3926,1962,1963,35,BEST PICTURE,Mutiny on the Bounty,Mutiny on the Bounty,False
3944,1962,1963,35,SPECIAL EFFECTS,Mutiny on the Bounty,Mutiny on the Bounty,False
3958,1963,1964,36,ACTOR,Rex Harrison,Cleopatra,False
3982,1963,1964,36,ART DIRECTION (Color),Cleopatra,Cleopatra,True
3992,1963,1964,36,CINEMATOGRAPHY (Color),Cleopatra,Cleopatra,True
4002,1963,1964,36,COSTUME DESIGN (Color),Cleopatra,Cleopatra,True
4021,1963,1964,36,FILM EDITING,Cleopatra,Cleopatra,False
4030,1963,1964,36,MUSIC (Music Score--substantially original),Cleopatra,Cleopatra,False
4046,1963,1964,36,BEST PICTURE,Cleopatra,Cleopatra,False
4062,1963,1964,36,SOUND,Cleopatra,Cleopatra,False
4068,1963,1964,36,SPECIAL EFFECTS,Cleopatra,Cleopatra,True
5434,1976,1977,49,CINEMATOGRAPHY,A Star Is Born,A Star Is Born,False
5472,1976,1977,49,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),A Star Is Born,A Star Is Born,False
5476,1976,1977,49,MUSIC (Original Song),A Star Is Born,A Star Is Born,True
5495,1976,1977,49,SOUND,A Star Is Born,A Star Is Born,False
7338,1994,1995,67,ACTRESS IN A LEADING ROLE,Winona Ryder,Little Women,False
7357,1994,1995,67,COSTUME DESIGN,Little Women,Little Women,False
7391,1994,1995,67,MUSIC (Original Score),Little Women,Little Women,False
7682,1997,1998,70,ACTRESS IN A LEADING ROLE,Kate Winslet,Titanic,False
7687,1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Gloria Stuart,Titanic,False
7692,1997,1998,70,ART DIRECTION,Titanic,Titanic,True
7696,1997,1998,70,CINEMATOGRAPHY,Titanic,Titanic,True
7701,1997,1998,70,COSTUME DESIGN,Titanic,Titanic,True
7707,1997,1998,70,DIRECTING,Titanic,Titanic,True
7722,1997,1998,70,FILM EDITING,Titanic,Titanic,True
7730,1997,1998,70,MAKEUP,Titanic,Titanic,False
7735,1997,1998,70,MUSIC (Original Dramatic Score),Titanic,Titanic,True
7745,1997,1998,70,MUSIC (Original Song),Titanic,Titanic,True
7750,1997,1998,70,BEST PICTURE,Titanic,Titanic,True
7765,1997,1998,70,SOUND,Titanic,Titanic,True
7768,1997,1998,70,SOUND EFFECTS EDITING,Titanic,Titanic,True
7771,1997,1998,70,VISUAL EFFECTS,Titanic,Titanic,True
8124,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False
8128,2001,2002,74,ACTRESS IN A LEADING ROLE,Nicole Kidman,Moulin Rouge,False
8142,2001,2002,74,ART DIRECTION,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8143,2001,2002,74,ART DIRECTION,Moulin Rouge,Moulin Rouge,True
8146,2001,2002,74,CINEMATOGRAPHY,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,True
8148,2001,2002,74,CINEMATOGRAPHY,Moulin Rouge,Moulin Rouge,False
8152,2001,2002,74,COSTUME DESIGN,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8153,2001,2002,74,COSTUME DESIGN,Moulin Rouge,Moulin Rouge,True
8157,2001,2002,74,DIRECTING,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8169,2001,2002,74,FILM EDITING,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8171,2001,2002,74,FILM EDITING,Moulin Rouge,Moulin Rouge,False
8178,2001,2002,74,MAKEUP,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,True
8179,2001,2002,74,MAKEUP,Moulin Rouge,Moulin Rouge,False
8183,2001,2002,74,MUSIC (Original Score),The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,True
8186,2001,2002,74,MUSIC (Original Song),The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8193,2001,2002,74,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8194,2001,2002,74,BEST PICTURE,Moulin Rouge,Moulin Rouge,False
8207,2001,2002,74,SOUND,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
8208,2001,2002,74,SOUND,Moulin Rouge,Moulin Rouge,False
8213,2001,2002,74,VISUAL EFFECTS,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,True
8218,2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
9891,2016,2017,89,ACTOR IN A LEADING ROLE,Ryan Gosling,La La Land,False
9902,2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,True
9915,2016,2017,89,CINEMATOGRAPHY,La La Land,La La Land,True
9923,2016,2017,89,COSTUME DESIGN,La La Land,La La Land,False
9926,2016,2017,89,DIRECTING,La La Land,La La Land,True
9942,2016,2017,89,FILM EDITING,La La Land,La La Land,False
9953,2016,2017,89,MUSIC (Original Score),La La Land,La La Land,True
9957,2016,2017,89,MUSIC (Original Song),La La Land,La La Land,False
9959,2016,2017,89,MUSIC (Original Song),La La Land,La La Land,True
9967,2016,2017,89,BEST PICTURE,La La Land,La La Land,False
9974,2016,2017,89,PRODUCTION DESIGN,La La Land,La La Land,True
9989,2016,2017,89,SOUND EDITING,La La Land,La La Land,False
9993,2016,2017,89,SOUND MIXING,La La Land,La La Land,False
10007,2016,2017,89,WRITING (Original Screenplay),La La Land,La La Land,False
10143,2018,2019,91,ACTOR IN A LEADING ROLE,Bradley Cooper,A Star Is Born,False
10149,2018,2019,91,ACTOR IN A SUPPORTING ROLE,Sam Elliott,A Star Is Born,False
10155,2018,2019,91,ACTRESS IN A LEADING ROLE,Lady Gaga,A Star Is Born,False
10171,2018,2019,91,CINEMATOGRAPHY,A Star Is Born,A Star Is Born,False
10213,2018,2019,91,MUSIC (Original Song),A Star Is Born,A Star Is Born,True
10221,2018,2019,91,BEST PICTURE,A Star Is Born,A Star Is Born,False
10247,2018,2019,91,SOUND MIXING,A Star Is Born,A Star Is Born,False
10257,2018,2019,91,WRITING (Adapted Screenplay),A Star Is Born,A Star Is Born,False
10279,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Little Women,False
10285,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,Little Women,False
10300,2019,2020,92,COSTUME DESIGN,Little Women,Little Women,True
10333,2019,2020,92,MUSIC (Original Score),Little Women,Little Women,False
10346,2019,2020,92,BEST PICTURE,Little Women,Little Women,False
10384,2019,2020,92,WRITING (Adapted Screenplay),Little Women,Little Women,False
